game_name,platform,release_year,genre,publisher,price,user_score,downloads
Sky Legends,PS4,2020.0,rpg,Ubisoft,0.0,6.911119779634752,0.0
Mystic Quest,XBOX,2018.0,action,Unknown,0.0,8.464132804349973,500000.0
Dragon Arena,PS4,2020.0,rpg,Ubisoft,0.0,6.911119779634752,589153.0
Call of Battle,PC,2020.0,action,Unknown,59.99,6.911119779634752,1000000.0
Zombie Land,PS4,2018.0,rpg,Nintendo,39.99,9.749766385155343,500000.0
Speed Racer X,PLAYSTATION,2019.0,adventure,EA,59.99,6.911119779634752,1000000.0
Speed Racer X,XBOX,2019.0,adventure,Ubisoft,0.0,6.911119779634752,0.0
Dragon Arena,PLAYSTATION,2020.0,adventure,Ubisoft,59.99,2.4327805868265813,402124.0
Dragon Arena,SWITCH,2019.0,action,Sony,59.99,8.5,234752.0
Pixel War,PS4,2021.0,rpg,Nintendo,39.99,6.911119779634752,0.0
Pixel War,XBOX,2020.0,rpg,EA,59.99,6.911119779634752,500000.0
Call of Battle,PC,2020.0,rpg,Nintendo,0.0,6.911119779634752,636656.0
Zombie Land,PC,2019.0,rpg,EA,0.0,6.911119779634752,1000000.0
Mystic Quest,SWITCH,2018.0,adventure,Nintendo,0.0,3.825240805525237,500000.0
Sky Legends,XBOX,2020.0,rpg,Nintendo,0.0,6.911119779634752,1000000.0
Zombie Land,PLAYSTATION,2021.0,adventure,Unknown,59.99,6.911119779634752,426800.0
Mystic Quest,XBOX,2019.0,rpg,Unknown,0.0,6.911119779634752,0.0
Pixel War,PS4,2020.0,rpg,Unknown,59.99,6.911119779634752,500000.0
Call of Battle,XBOX,2020.0,action,Unknown,59.99,8.5,155511.0
Call of Battle,PS4,2021.0,shooter,EA,0.0,6.911119779634752,0.0
Zombie Land,SWITCH,2019.0,action,Unknown,0.0,1.0499033632422858,0.0
Speed Racer X,PS4,2020.0,adventure,Unknown,0.0,8.5,963037.0
Zombie Land,PS4,2020.0,rpg,Unknown,0.0,6.911119779634752,0.0
Sky Legends,XBOX,2020.0,shooter,Sony,39.99,6.911119779634752,1000000.0
Pixel War,XBOX,2021.0,rpg,Nintendo,39.99,6.911119779634752,0.0
Pixel War,PS4,2020.0,rpg,EA,0.0,6.911119779634752,500000.0
Sky Legends,PC,2019.0,action,Ubisoft,0.0,8.5,0.0
Zombie Land,XBOX,2020.0,rpg,Sony,59.99,6.911119779634752,409396.0
Dragon Arena,XBOX,2020.0,rpg,Sony,59.99,6.911119779634752,0.0
Dragon Arena,XBOX,2021.0,shooter,Unknown,0.0,6.911119779634752,1000000.0
Zombie Land,PS4,2020.0,rpg,Sony,59.99,6.911119779634752,1000000.0
Dragon Arena,SWITCH,2019.0,shooter,Unknown,59.99,6.911119779634752,592807.0
Call of Battle,PLAYSTATION,2021.0,action,Sony,59.99,6.911119779634752,1000000.0
Zombie Land,XBOX,2020.0,adventure,Sony,59.99,6.911119779634752,265525.0
Zombie Land,PC,2020.0,shooter,EA,59.99,3.0179994914777337,820182.0
Dragon Arena,PC,2019.0,action,EA,0.0,8.5,497564.0
Sky Legends,PS4,2021.0,adventure,Nintendo,39.99,6.911119779634752,637745.0
Dragon Arena,XBOX,2019.0,rpg,EA,0.0,6.911119779634752,0.0
Zombie Land,PLAYSTATION,2019.0,action,Unknown,0.0,8.5,500000.0
Dragon Arena,PLAYSTATION,2020.0,adventure,EA,39.99,9.854599163632042,0.0
Pixel War,XBOX,2018.0,shooter,Unknown,59.99,6.911119779634752,0.0
Call of Battle,SWITCH,2020.0,adventure,Sony,0.0,8.5,500000.0
Sky Legends,XBOX,2020.0,adventure,Sony,0.0,6.911119779634752,500000.0
Dragon Arena,PS4,2020.0,action,Nintendo,0.0,6.911119779634752,0.0
Mystic Quest,PC,2021.0,adventure,Nintendo,59.99,6.911119779634752,500000.0
Mystic Quest,XBOX,2020.0,adventure,Nintendo,0.0,8.5,1000000.0
Pixel War,SWITCH,2021.0,shooter,Ubisoft,0.0,6.911119779634752,470945.0
Call of Battle,XBOX,2019.0,rpg,Unknown,59.99,6.911119779634752,0.0
Sky Legends,PC,2020.0,rpg,Unknown,0.0,6.911119779634752,500000.0
Mystic Quest,PS4,2018.0,adventure,Ubisoft,59.99,6.911119779634752,1000000.0
Speed Racer X,PS4,2020.0,rpg,Nintendo,0.0,6.911119779634752,500000.0
Call of Battle,XBOX,2019.0,rpg,Ubisoft,59.99,2.6149738931686297,1000000.0
Mystic Quest,PC,2018.0,shooter,Nintendo,0.0,6.911119779634752,108570.0
Sky Legends,XBOX,2021.0,rpg,Sony,59.99,2.6592730335107357,0.0
Call of Battle,XBOX,2018.0,rpg,Sony,59.99,6.1931904082373626,1000000.0
Dragon Arena,PC,2020.0,action,Ubisoft,59.99,6.911119779634752,1000000.0
Dragon Arena,PC,2021.0,rpg,Sony,59.99,6.911119779634752,321214.0
Sky Legends,PLAYSTATION,2018.0,adventure,Ubisoft,0.0,2.899226757748537,1000000.0
Speed Racer X,PC,2018.0,action,EA,0.0,6.911119779634752,500000.0
Call of Battle,PS4,2020.0,adventure,Nintendo,0.0,8.736460582064701,1000000.0
Mystic Quest,XBOX,2020.0,adventure,Unknown,0.0,8.5,446790.0
Sky Legends,PS4,2020.0,action,Nintendo,39.99,2.2801265689930954,500000.0
Sky Legends,PLAYSTATION,2020.0,shooter,Nintendo,0.0,6.911119779634752,0.0
Mystic Quest,PC,2020.0,rpg,Sony,59.99,6.911119779634752,500000.0
Sky Legends,XBOX,2018.0,action,Ubisoft,0.0,6.911119779634752,616643.0
Dragon Arena,PLAYSTATION,2020.0,rpg,Unknown,59.99,8.5,0.0
Mystic Quest,PS4,2020.0,rpg,Unknown,39.99,5.42553221971912,500000.0
Zombie Land,XBOX,2020.0,adventure,EA,39.99,6.911119779634752,0.0
Mystic Quest,PLAYSTATION,2021.0,adventure,Unknown,59.99,6.911119779634752,500000.0
Call of Battle,XBOX,2021.0,adventure,Unknown,39.99,6.911119779634752,0.0
Call of Battle,PS4,2020.0,rpg,Unknown,39.99,6.911119779634752,797907.0
Speed Racer X,XBOX,2020.0,action,Nintendo,0.0,6.911119779634752,128324.0
Pixel War,PC,2020.0,action,Unknown,59.99,3.796751245540016,0.0
Call of Battle,PS4,2020.0,action,Sony,59.99,8.5,500000.0
Sky Legends,PLAYSTATION,2020.0,rpg,Sony,0.0,6.911119779634752,0.0
Speed Racer X,PC,2020.0,adventure,Ubisoft,39.99,6.911119779634752,500000.0
Dragon Arena,PC,2020.0,adventure,Nintendo,39.99,6.911119779634752,1000000.0
Zombie Land,PC,2021.0,rpg,Nintendo,0.0,6.911119779634752,500000.0
Dragon Arena,PS4,2020.0,action,Unknown,0.0,6.911119779634752,500000.0
Pixel War,SWITCH,2020.0,adventure,Sony,0.0,8.5,520389.0
Speed Racer X,PC,2020.0,rpg,EA,39.99,8.60535480799344,0.0
Call of Battle,PLAYSTATION,2019.0,rpg,Unknown,59.99,6.911119779634752,0.0
Pixel War,PC,2020.0,rpg,Unknown,39.99,6.911119779634752,0.0
Dragon Arena,PC,2018.0,shooter,EA,59.99,6.911119779634752,239536.0
Zombie Land,PC,2020.0,adventure,Unknown,39.99,8.5,500000.0
Call of Battle,PC,2020.0,adventure,EA,59.99,6.911119779634752,1000000.0
Sky Legends,SWITCH,2020.0,adventure,Ubisoft,59.99,6.911119779634752,0.0
Sky Legends,PLAYSTATION,2019.0,rpg,Unknown,59.99,6.911119779634752,500000.0
Pixel War,PC,2020.0,rpg,Nintendo,0.0,5.919383238418256,500000.0
Sky Legends,XBOX,2020.0,rpg,Unknown,59.99,6.911119779634752,0.0
Dragon Arena,SWITCH,2018.0,action,Sony,0.0,6.911119779634752,500000.0
Call of Battle,XBOX,2020.0,rpg,Nintendo,59.99,6.0933611526012905,0.0
Dragon Arena,XBOX,2020.0,adventure,Ubisoft,0.0,8.5,1000000.0
Sky Legends,XBOX,2020.0,adventure,Unknown,39.99,8.5,659765.0
Pixel War,PLAYSTATION,2018.0,rpg,Sony,59.99,8.5,500000.0
Mystic Quest,PLAYSTATION,2021.0,action,Ubisoft,59.99,6.911119779634752,500000.0
Dragon Arena,PS4,2020.0,adventure,Sony,39.99,6.911119779634752,844298.0
Zombie Land,PC,2019.0,adventure,Ubisoft,39.99,6.911119779634752,500000.0
Call of Battle,XBOX,2021.0,action,Nintendo,0.0,6.911119779634752,500000.0
Sky Legends,SWITCH,2020.0,adventure,Nintendo,59.99,6.911119779634752,500000.0
Sky Legends,PS4,2020.0,action,Unknown,39.99,6.911119779634752,0.0
Call of Battle,PS4,2018.0,action,Nintendo,0.0,8.5,1000000.0
Zombie Land,SWITCH,2020.0,adventure,Unknown,0.0,6.911119779634752,1000000.0
Zombie Land,PLAYSTATION,2018.0,adventure,Sony,0.0,6.911119779634752,500000.0
Speed Racer X,SWITCH,2021.0,action,Nintendo,59.99,6.911119779634752,500000.0
Call of Battle,SWITCH,2020.0,action,EA,39.99,8.417719737384143,1000000.0
Pixel War,PLAYSTATION,2020.0,action,EA,39.99,8.5,1000000.0
Call of Battle,XBOX,2020.0,shooter,Ubisoft,0.0,8.5,1000000.0
Dragon Arena,PC,2018.0,rpg,Ubisoft,59.99,8.5,116266.0
Speed Racer X,PC,2020.0,adventure,Ubisoft,0.0,8.5,279258.0
Speed Racer X,PLAYSTATION,2021.0,shooter,EA,0.0,6.911119779634752,500000.0
Sky Legends,PC,2018.0,rpg,Unknown,59.99,9.508740786730955,500000.0
Zombie Land,PLAYSTATION,2018.0,action,Sony,39.99,4.614555290613044,0.0
Call of Battle,PC,2020.0,shooter,Ubisoft,59.99,6.911119779634752,500000.0
Zombie Land,PC,2020.0,rpg,Sony,0.0,6.448841123817816,832621.0
Dragon Arena,PLAYSTATION,2020.0,adventure,Unknown,0.0,6.911119779634752,1000000.0
Zombie Land,XBOX,2020.0,rpg,Sony,0.0,6.911119779634752,500000.0
Pixel War,XBOX,2020.0,action,Unknown,0.0,1.60419977322983,0.0
Call of Battle,PLAYSTATION,2020.0,rpg,Ubisoft,0.0,6.911119779634752,500000.0
Pixel War,PC,2021.0,rpg,Unknown,39.99,4.806431701874951,500000.0
Mystic Quest,PC,2020.0,shooter,Ubisoft,59.99,8.5,889432.0
Mystic Quest,XBOX,2020.0,rpg,EA,39.99,8.5,0.0
Dragon Arena,PC,2020.0,adventure,Unknown,0.0,6.911119779634752,500000.0
Call of Battle,PS4,2020.0,adventure,Nintendo,59.99,8.5,1000000.0
Sky Legends,PLAYSTATION,2021.0,action,Ubisoft,0.0,6.698548113899625,1000000.0
Zombie Land,SWITCH,2021.0,rpg,Ubisoft,59.99,6.911119779634752,815571.0
Call of Battle,PS4,2019.0,adventure,Unknown,59.99,6.911119779634752,0.0
Zombie Land,PC,2021.0,rpg,Nintendo,59.99,7.794488293015336,0.0
Call of Battle,XBOX,2020.0,adventure,Unknown,0.0,6.911119779634752,1000000.0
Zombie Land,PC,2018.0,action,Ubisoft,59.99,8.5,500000.0
Mystic Quest,XBOX,2018.0,action,Sony,0.0,8.5,1000000.0
Sky Legends,PC,2020.0,adventure,Nintendo,59.99,4.573640568225676,458409.0
Zombie Land,PC,2020.0,rpg,Unknown,0.0,6.911119779634752,304578.0
Zombie Land,PC,2020.0,action,Unknown,0.0,6.911119779634752,0.0
Dragon Arena,PC,2019.0,rpg,Unknown,0.0,6.911119779634752,500000.0
Pixel War,XBOX,2019.0,rpg,Ubisoft,59.99,5.594349560879335,1000000.0
Dragon Arena,XBOX,2020.0,adventure,Unknown,39.99,2.3292085239769493,500000.0
Speed Racer X,PS4,2020.0,action,Unknown,59.99,6.911119779634752,0.0
Pixel War,PC,2020.0,adventure,Unknown,59.99,6.911119779634752,0.0
Call of Battle,SWITCH,2021.0,adventure,Nintendo,39.99,3.4720630073754326,370038.0
Mystic Quest,SWITCH,2021.0,action,EA,59.99,8.485269684968094,676981.0
Sky Legends,PC,2020.0,rpg,Sony,0.0,5.988847342044736,1000000.0
Mystic Quest,PC,2021.0,shooter,Ubisoft,59.99,6.911119779634752,750014.0
Sky Legends,PLAYSTATION,2019.0,action,Ubisoft,0.0,6.911119779634752,1000000.0
Mystic Quest,XBOX,2020.0,rpg,Sony,39.99,6.911119779634752,500000.0
Call of Battle,XBOX,2018.0,shooter,Unknown,0.0,6.911119779634752,1000000.0
Mystic Quest,PC,2020.0,adventure,Ubisoft,59.99,6.911119779634752,136215.0
Mystic Quest,PC,2021.0,adventure,Nintendo,39.99,6.911119779634752,0.0
Sky Legends,XBOX,2018.0,rpg,Nintendo,59.99,6.911119779634752,0.0
Speed Racer X,PS4,2019.0,action,EA,59.99,8.59985549817295,533351.0
Pixel War,XBOX,2020.0,shooter,Ubisoft,0.0,8.5,1000000.0
Pixel War,SWITCH,2018.0,rpg,Nintendo,0.0,6.911119779634752,500000.0
Dragon Arena,PLAYSTATION,2020.0,rpg,Ubisoft,0.0,6.911119779634752,1000000.0
Mystic Quest,PLAYSTATION,2020.0,rpg,Sony,39.99,6.911119779634752,0.0
Speed Racer X,XBOX,2019.0,adventure,Unknown,59.99,8.857017280534125,0.0
Dragon Arena,XBOX,2020.0,action,Unknown,39.99,5.643184487972366,299910.0
Dragon Arena,PS4,2020.0,rpg,Unknown,59.99,8.479420467743672,1000000.0
Dragon Arena,SWITCH,2020.0,action,Sony,59.99,6.911119779634752,0.0
Call of Battle,XBOX,2019.0,action,Nintendo,59.99,6.911119779634752,1000000.0
Speed Racer X,PC,2020.0,adventure,Sony,0.0,6.911119779634752,471392.0
Call of Battle,PC,2020.0,action,Ubisoft,0.0,6.911119779634752,0.0
Call of Battle,XBOX,2020.0,action,Nintendo,59.99,6.911119779634752,0.0
Call of Battle,PC,2020.0,rpg,Unknown,0.0,6.911119779634752,1000000.0
Pixel War,PS4,2020.0,rpg,EA,0.0,6.911119779634752,1000000.0
Pixel War,PLAYSTATION,2018.0,shooter,Nintendo,59.99,6.911119779634752,532971.0
Zombie Land,XBOX,2021.0,action,Unknown,0.0,6.911119779634752,784618.0
Mystic Quest,XBOX,2018.0,rpg,Ubisoft,0.0,6.913939600097482,500000.0
Speed Racer X,PC,2020.0,shooter,Nintendo,39.99,6.911119779634752,0.0
Pixel War,PS4,2020.0,action,EA,0.0,6.911119779634752,500000.0
Speed Racer X,PC,2020.0,action,EA,59.99,6.911119779634752,0.0
Mystic Quest,PC,2020.0,adventure,Ubisoft,59.99,4.212767584318271,500000.0
Mystic Quest,PC,2020.0,rpg,Sony,0.0,6.911119779634752,1000000.0
Zombie Land,PLAYSTATION,2021.0,rpg,Unknown,59.99,6.911119779634752,0.0
Sky Legends,XBOX,2019.0,shooter,Nintendo,59.99,6.911119779634752,500000.0
Mystic Quest,SWITCH,2020.0,adventure,Sony,59.99,6.911119779634752,469849.0
Pixel War,XBOX,2020.0,shooter,Sony,59.99,6.755223794432324,0.0
Mystic Quest,PC,2020.0,adventure,Unknown,59.99,8.5,0.0
Call of Battle,PS4,2018.0,action,Unknown,59.99,6.911119779634752,1000000.0
Pixel War,SWITCH,2020.0,rpg,Sony,39.99,8.5,500000.0
Zombie Land,XBOX,2020.0,rpg,Ubisoft,59.99,8.5,0.0
Sky Legends,PC,2020.0,adventure,Nintendo,0.0,6.911119779634752,0.0
Speed Racer X,PC,2019.0,adventure,EA,0.0,6.911119779634752,500000.0
Pixel War,XBOX,2020.0,action,Unknown,0.0,6.911119779634752,1000000.0
Pixel War,PLAYSTATION,2020.0,adventure,Ubisoft,39.99,8.5,1000000.0
Dragon Arena,PS4,2019.0,adventure,Sony,59.99,6.911119779634752,0.0
Dragon Arena,PC,2019.0,shooter,EA,59.99,6.911119779634752,0.0
Dragon Arena,SWITCH,2020.0,shooter,EA,59.99,9.751417583623892,0.0
Pixel War,PC,2020.0,action,Unknown,0.0,8.5,454633.0
Dragon Arena,PC,2020.0,action,Nintendo,59.99,8.5,500000.0
Dragon Arena,PC,2020.0,action,Unknown,0.0,6.911119779634752,645274.0
Sky Legends,PLAYSTATION,2019.0,shooter,Unknown,59.99,6.911119779634752,500000.0
Dragon Arena,PC,2018.0,adventure,EA,59.99,6.911119779634752,1000000.0
Dragon Arena,PC,2021.0,shooter,Unknown,59.99,6.911119779634752,500000.0
Zombie Land,PS4,2020.0,adventure,Unknown,0.0,3.676904842867681,723063.0
Speed Racer X,SWITCH,2021.0,rpg,Sony,59.99,8.5,500000.0
Pixel War,XBOX,2020.0,rpg,Ubisoft,39.99,6.911119779634752,500000.0
Speed Racer X,SWITCH,2018.0,rpg,Sony,59.99,2.267898715073652,0.0
Dragon Arena,PC,2021.0,action,Ubisoft,39.99,6.911119779634752,500000.0
Speed Racer X,XBOX,2019.0,rpg,Unknown,0.0,6.911119779634752,522530.0
Call of Battle,SWITCH,2020.0,rpg,Ubisoft,59.99,6.250097007871089,500000.0
Zombie Land,PC,2020.0,adventure,Unknown,0.0,3.5717354329691577,889324.0
Zombie Land,PS4,2020.0,adventure,Nintendo,39.99,4.629286649029226,421040.0
Sky Legends,PC,2019.0,rpg,Unknown,59.99,6.911119779634752,500000.0
Dragon Arena,PC,2020.0,shooter,EA,59.99,6.911119779634752,500000.0
Sky Legends,XBOX,2020.0,action,Ubisoft,0.0,6.911119779634752,43210.0
Call of Battle,PS4,2020.0,rpg,Sony,0.0,6.911119779634752,1000000.0
Mystic Quest,PC,2020.0,action,Sony,0.0,6.911119779634752,500000.0
Sky Legends,XBOX,2020.0,shooter,Sony,0.0,6.911119779634752,856374.0
Mystic Quest,XBOX,2020.0,action,Sony,0.0,3.769100503405879,0.0
Mystic Quest,PLAYSTATION,2020.0,adventure,Unknown,0.0,3.047889027689405,0.0
Speed Racer X,PC,2020.0,adventure,Unknown,39.99,8.5,1000000.0
Call of Battle,PC,2020.0,action,Ubisoft,59.99,6.911119779634752,0.0
Pixel War,PS4,2021.0,shooter,Unknown,0.0,8.855359380210883,1000000.0
Sky Legends,PS4,2020.0,rpg,Unknown,0.0,6.911119779634752,0.0
Sky Legends,XBOX,2020.0,rpg,Unknown,39.99,6.911119779634752,0.0
Speed Racer X,PS4,2020.0,shooter,Nintendo,59.99,6.911119779634752,500000.0
Pixel War,PS4,2020.0,adventure,Sony,59.99,6.911119779634752,500000.0
Mystic Quest,PC,2020.0,adventure,Unknown,0.0,6.911119779634752,500000.0
Dragon Arena,XBOX,2019.0,rpg,EA,59.99,9.597823459113178,0.0
Pixel War,XBOX,2020.0,rpg,Ubisoft,59.99,6.911119779634752,500000.0
Speed Racer X,PC,2020.0,adventure,Unknown,59.99,6.911119779634752,1000000.0
Call of Battle,PC,2021.0,rpg,Unknown,0.0,8.5,1000000.0
Zombie Land,PLAYSTATION,2021.0,rpg,Unknown,59.99,6.911119779634752,500000.0
Pixel War,PC,2020.0,action,Unknown,0.0,3.089981792989153,1000000.0
Zombie Land,XBOX,2019.0,action,Sony,39.99,6.911119779634752,920331.0
Call of Battle,XBOX,2020.0,shooter,EA,59.99,6.911119779634752,0.0
Speed Racer X,XBOX,2020.0,rpg,Nintendo,59.99,6.911119779634752,0.0
Pixel War,XBOX,2020.0,action,EA,0.0,6.911119779634752,1000000.0
Speed Racer X,PC,2020.0,adventure,Sony,39.99,6.911119779634752,0.0
Pixel War,PC,2019.0,action,Sony,59.99,9.422428483012496,0.0
Speed Racer X,SWITCH,2020.0,rpg,Nintendo,59.99,6.911119779634752,500000.0
Pixel War,XBOX,2020.0,action,EA,0.0,6.911119779634752,0.0
Pixel War,PC,2020.0,adventure,Nintendo,0.0,6.911119779634752,1000000.0
Speed Racer X,PS4,2021.0,action,Sony,0.0,6.911119779634752,0.0
Dragon Arena,PC,2020.0,adventure,Ubisoft,39.99,6.911119779634752,916548.0
Sky Legends,SWITCH,2020.0,adventure,Nintendo,59.99,9.25520236102878,1000000.0
Sky Legends,PC,2019.0,action,Nintendo,39.99,5.683073870663083,1000000.0
Pixel War,PC,2021.0,action,Unknown,0.0,6.911119779634752,0.0
Zombie Land,PC,2018.0,shooter,Sony,0.0,8.262238172989534,500000.0
Dragon Arena,PC,2020.0,action,Unknown,59.99,6.911119779634752,735406.0
Sky Legends,PC,2018.0,rpg,EA,59.99,8.5,0.0
Mystic Quest,SWITCH,2021.0,adventure,Sony,0.0,6.911119779634752,500000.0
Call of Battle,PS4,2020.0,rpg,Unknown,59.99,8.5,876373.0
Dragon Arena,PC,2020.0,rpg,Unknown,0.0,6.911119779634752,1000000.0
Speed Racer X,SWITCH,2020.0,action,Nintendo,59.99,9.4366932502156,0.0
Sky Legends,XBOX,2018.0,action,Ubisoft,59.99,1.9080704178325631,469127.0
Speed Racer X,PLAYSTATION,2018.0,rpg,Sony,59.99,5.857838280166855,500000.0
Speed Racer X,XBOX,2020.0,shooter,Nintendo,0.0,6.911119779634752,500000.0
Speed Racer X,PLAYSTATION,2020.0,action,Sony,59.99,6.911119779634752,1000000.0
Pixel War,PLAYSTATION,2021.0,shooter,Sony,59.99,6.911119779634752,500000.0
Pixel War,SWITCH,2021.0,action,Nintendo,0.0,6.911119779634752,1000000.0
Dragon Arena,PS4,2020.0,adventure,Unknown,59.99,8.251985439413982,0.0
Zombie Land,PC,2020.0,action,Sony,59.99,6.911119779634752,679120.0
Zombie Land,XBOX,2020.0,action,Unknown,0.0,8.46465656693529,0.0
Pixel War,PC,2020.0,action,EA,59.99,6.911119779634752,1000000.0
Zombie Land,PS4,2020.0,rpg,Nintendo,59.99,8.5,778493.0
Pixel War,XBOX,2021.0,action,Unknown,0.0,6.911119779634752,1000000.0
Sky Legends,XBOX,2020.0,rpg,Sony,0.0,6.911119779634752,500000.0
Mystic Quest,PC,2021.0,rpg,EA,39.99,6.911119779634752,500000.0
Speed Racer X,XBOX,2020.0,rpg,EA,0.0,8.5,500000.0
Sky Legends,PC,2020.0,adventure,Sony,59.99,6.911119779634752,0.0
Sky Legends,XBOX,2019.0,rpg,Unknown,0.0,6.911119779634752,0.0
Pixel War,PLAYSTATION,2020.0,rpg,Sony,59.99,6.911119779634752,1000000.0
Pixel War,PC,2021.0,action,Unknown,0.0,6.911119779634752,36466.0
Dragon Arena,PLAYSTATION,2018.0,adventure,EA,0.0,8.5,1000000.0
Call of Battle,PS4,2020.0,rpg,Nintendo,59.99,6.911119779634752,0.0
Pixel War,SWITCH,2018.0,action,Unknown,0.0,4.702046573956748,500000.0
Sky Legends,XBOX,2018.0,shooter,Unknown,0.0,8.5,113214.0
Sky Legends,PS4,2019.0,action,Unknown,0.0,6.911119779634752,0.0
Call of Battle,XBOX,2021.0,rpg,Unknown,59.99,8.5,315546.0
Pixel War,XBOX,2020.0,adventure,EA,59.99,6.911119779634752,0.0
Call of Battle,PLAYSTATION,2018.0,adventure,Ubisoft,59.99,6.911119779634752,500000.0
Sky Legends,XBOX,2018.0,shooter,EA,59.99,6.911119779634752,500000.0
Call of Battle,PC,2020.0,rpg,Unknown,0.0,8.5,500000.0
Call of Battle,PS4,2020.0,action,Unknown,39.99,4.584664183556098,1000000.0
Sky Legends,PS4,2020.0,adventure,Sony,0.0,6.911119779634752,1000000.0
Dragon Arena,PLAYSTATION,2020.0,action,Unknown,0.0,9.768909946923968,0.0
Speed Racer X,XBOX,2018.0,rpg,Unknown,39.99,6.911119779634752,500000.0
Call of Battle,PLAYSTATION,2020.0,adventure,Sony,0.0,6.911119779634752,0.0
Zombie Land,PS4,2020.0,shooter,Unknown,0.0,6.911119779634752,1000000.0
Pixel War,PC,2018.0,rpg,Ubisoft,0.0,8.5,0.0
Mystic Quest,XBOX,2018.0,action,EA,59.99,6.911119779634752,1000000.0
Call of Battle,PS4,2021.0,rpg,Unknown,0.0,5.611967635694128,28537.0
Mystic Quest,PC,2018.0,shooter,Unknown,39.99,6.911119779634752,500000.0
Zombie Land,SWITCH,2020.0,action,Unknown,0.0,8.5,1000000.0
Pixel War,SWITCH,2019.0,action,Nintendo,59.99,8.5,1000000.0
Zombie Land,XBOX,2021.0,rpg,Sony,39.99,6.911119779634752,1000000.0
Pixel War,PLAYSTATION,2021.0,shooter,Unknown,59.99,8.5,320457.0
Zombie Land,XBOX,2020.0,shooter,Sony,39.99,6.911119779634752,0.0
Dragon Arena,XBOX,2020.0,adventure,Unknown,59.99,6.911119779634752,1000000.0
Zombie Land,XBOX,2019.0,rpg,Nintendo,59.99,6.911119779634752,1000000.0
Mystic Quest,SWITCH,2020.0,adventure,Sony,59.99,6.911119779634752,1000000.0
